id,title,company,location,link,date,seniority,employment_type,industries,description,job_function
4316354350,Associate Software Engineer -Python/AI/ML,Devsinc,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/associate-software-engineer-python-ai-ml-at-devsinc-4316354350?position=1&pageNum=0&refId=smk9RWIAsq%2FCObJOVAlvQg%3D%3D&trackingId=zPTqdnyzTwi58N%2F37bZLKg%3D%3D,2025-10-17,Associate,Full-time,IT Services and IT Consulting,"Application & Model Development:
Design, develop, and deploy Python-based applications and AI/ML models.
Data Handling:
Collect, clean, and preprocess structured and unstructured data for model training.
Model Training & Evaluation:
Implement machine learning and deep learning algorithms; evaluate performance using appropriate metrics.
API Integration:
Create and integrate APIs for serving ML models into applications or web services.
Research & Innovation:
Stay updated with AI/ML trends, frameworks (TensorFlow, PyTorch, Scikit-learn), and improve model efficiency.
Automation & Scripting:
Develop automation scripts and data pipelines to support AI workflows.
Collaboration:
Work with data engineers, developers, and product teams for end-to-end solution delivery.
Version Control & Documentation:
Maintain clean code, version control (Git), and project documentation.
Testing & Deployment:
Test models, deploy to production, and monitor performance using cloud or on-prem setups.
Continuous Learning:
Explore emerging AI/ML technologies and contribute to innovation projects.
Requirements
Bachelor's degree in Computer Science, Artificial Intelligence, Data Science, Software Engineering, Information Technology, or a related field.
Develop Python-based AI/ML apps & models
Preprocess & analyze data
Train, test, and evaluate models
Build & integrate APIs for ML services
Use TensorFlow, PyTorch, Scikit-learn
Create automation scripts & data pipelines
Collaborate across teams for deployment
Maintain code, versioning, and documentation
Deploy & monitor ML solutions
Keep learning new AI/ML tools & methods
Show more
Show less",Other
4305609815,Associate Software Engineer (Fresh Graduate),Devsinc,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/associate-software-engineer-fresh-graduate-at-devsinc-4305609815?position=2&pageNum=0&refId=smk9RWIAsq%2FCObJOVAlvQg%3D%3D&trackingId=i6tyHwVrv5F9XiwECyMa5A%3D%3D,2025-09-24,Associate,Full-time,IT Services and IT Consulting,"Devsinc is seeking a dedicated
Associate Software Engineer - OpenStack
to join our innovative team. As an Associate Software Engineer, you will have the opportunity to work with cutting-edge cloud technologies while contributing to the development and maintenance of our OpenStack-based solutions.
Responsibilities:
Design, develop, and maintain web applications with the development team \
Optimize application performance and improve scalability
Write clean, reusable, and efficient code following best practices and coding standards
Work with databases (SQL/NoSQL) for data management and optimization
Apply OOP principles to create scalable and maintainable code
Participate in the testing and validation of OpenStack services, ensuring reliability and scalability
Document technical specifications and create user manuals
Requirements
Bachelor's degree in Computer Science, Software Engineering, or a related field
Fresh to 6 months of experience
Basic understanding of cloud computing principles and OpenStack architecture
Familiarity with programming languages such as Python, Java, or Ruby
Knowledge of Linux operating systems and shell scripting
Proficiency in HTML, CSS, and JavaScript
Knowledge of RESTful APIs and web services
Understanding of networking concepts and virtualization technologies
Strong problem-solving skills and a willingness to learn
Excellent communication and collaboration abilities
Prior experience with OpenStack or cloud projects is a plus, but not mandatory
Show more
Show less",Engineering
4308508625,Python Developer (Fresh),Cogent Labs,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/python-developer-fresh-at-cogent-labs-4308508625?position=3&pageNum=0&refId=smk9RWIAsq%2FCObJOVAlvQg%3D%3D&trackingId=MdXXP2hKwi1J2VBBwFUV5A%3D%3D,2025-10-02,Internship,Full-time,Software Development,"Cogent Labs is hiring Python Developers (Fresh Graduates) for its Lahore office.
Must-Have
Fresh graduate in CS/SE (or equivalent) with strong programming fundamentals
Top-notch communication, confident, extroverted, and energetic
Good understanding of Python and Django (via projects, coursework, or internships)
Basic knowledge of REST APIs & databases (MySQL/PostgreSQL)
Familiar with Git & collaborative development practices
Good to Have
Responsible, with a no giving up attitude
Strong collaboration and teamwork mindset (we value team players, not solo flyers)
Exposure to Flask, FastAPI or Scrapy
Strong problem-solving and analytical ability
Curiosity, adaptability, and a growth mindset
Not a Fit If
You struggle with communication or prefer to work in isolation
You lack confidence in engaging with teams or clients
Bonus Points
Final Year Project (FYP) or internship in Python/Django will strongly increase your chances
Attractive Perks
Daily lunch, performance bonuses, medical coverage, financial assistance, travel allowance, and much more
Cultural Fit
Inclusive approach, high energy and integrity, attention to detail
Show more
Show less",Engineering and Information Technology
4261400337,Python Developer,Devsinc,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/python-developer-at-devsinc-4261400337?position=4&pageNum=0&refId=smk9RWIAsq%2FCObJOVAlvQg%3D%3D&trackingId=6J1hYdNwoNxpoqyJraC56Q%3D%3D,2025-07-03,Mid-Senior level,Full-time,IT Services and IT Consulting,"Description
Description
Devsinc is actively seeking a talented
Full-Stack Developer
to join our growing team. In this role, you will be responsible for designing and developing high-quality software solutions using modern technologies across the entire stack. This position offers the opportunity to work on diverse projects and collaborate with cross-functional teams to create innovative applications that drive business value.
to technical decision-making.
Requirements
Requirements
Responsibilities:
Strong proficiency in Python for backend development
Solid experience with Django and FastAPI frameworks
Expertise in working with PostgreSQL and MongoDB databases
Strong understanding of RESTful API development, GraphQL, and microservices architecture
Proficiency in modern frontend frameworks (React/Next.js or Vue)
Experience with TypeScript and modern JavaScript (ES6+)
Strong skills in responsive UI development with Tailwind CSS or similar frameworks
Implementation of state management solutions (Redux, Zustand, Pinia, or Context API)
Experience with Docker containerization and orchestration
Familiarity with CI/CD pipelines and DevOps practices
Understanding of cloud platforms (AWS, Azure, or GCP)
Requirements
Strong proficiency in Python backend development with Django or FastAPI
Expertise in modern frontend development with React/Next.js or Vue
Solid experience with TypeScript and modern JavaScript frameworks
Experience with both SQL (PostgreSQL, MySQL) and NoSQL (MongoDB, Redis) databases
Proficiency in CSS frameworks (Tailwind CSS, Material-UI, or similar)
Strong understanding of RESTful API design, GraphQL, and microservices patterns
Experience with version control systems (Git) and Agile/Scrum methodologies
Familiarity with CI/CD tools (Jenkins, GitLab CI, GitHub Actions)
Knowledge of cloud services and deployment strategies (AWS, Azure, or GCP)
Strong problem-solving and analytical skills
Excellent communication skills and ability to work collaboratively within a team
Ability to mentor junior developers and contribute
Qualifications:
Bachelor's degree in Computer Science, Software Engineering, or a related field
3-5 years of experience in full-stack development
Show more
Show less",Engineering
4310884304,Software Engineer- Python Developer.,Devsinc,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/software-engineer-python-developer-at-devsinc-4310884304?position=5&pageNum=0&refId=smk9RWIAsq%2FCObJOVAlvQg%3D%3D&trackingId=KvciHUeJ7vQPg0ROWKN9sQ%3D%3D,2025-10-06,Mid-Senior level,Full-time,IT Services and IT Consulting,"Devsinc is seeking a highly skilled and experienced
Senior Software Engineer - Python Developer
to join our growing team. In this role, you will lead the design and development of robust Python applications, working in a collaborative environment to create scalable software solutions. You will be responsible for guiding junior developers, optimizing existing code, and contributing to the overall architecture of our projects.
Key Responsibilities:
Design, develop, and maintain complex Python applications and services
Lead architectural discussions and make strategic decisions on technology stacks and approaches
Optimize applications for maximum speed and scalability
Mentor and support junior developers, fostering professional growth and best practices
Conduct code reviews to ensure high-quality code and adherence to best practices
Collaborate with cross-functional teams to define, design, and implement new features
Troubleshoot and debug applications, resolving any issues that arise
Stay updated with emerging technologies and industry trends to champion innovative solutions within the team
Requirements
Requirements:
Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field
3+ years of experience in software engineering with a strong focus on Python development
Expertise in web frameworks such as Django, Flask, or FastAPI
Proficient in database technologies, both SQL (PostgreSQL, MySQL) and NoSQL (MongoDB, Redis)
Strong understanding of software development methodologies, design patterns, and best practices
Experience with cloud services (AWS, Azure, GCP) and containerization (Docker, Kubernetes)
Excellent problem-solving skills and a proactive approach to challenges
Strong communication skills, with the ability to work collaboratively in a team environment
Previous experience in mentoring or leading teams is a plus
Show more
Show less",Engineering
4312261807,Reporting Analytics,Descon Engineering Limited,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/reporting-analytics-at-descon-engineering-limited-4312261807?position=6&pageNum=0&refId=smk9RWIAsq%2FCObJOVAlvQg%3D%3D&trackingId=nmr3j84kaSBMy%2Be%2BBp2Xdg%3D%3D,2025-10-15,Associate,Full-time,Engineering Services and Retail Apparel and Fashion,"Role Purpose
The position is responsible for ensuring accurate and timely preparation of financial statements and monthly reporting packs, maintaining general ledger integrity, and supporting compliance with accounting standards and organizational policies. The role also conducts analytical reviews, reconciliations, and variance analyses to support management decision-making and continuous improvement in financial reporting processes.
Key Responsibilitie
sPrepare
monthly closing pack
s and
financial statement
s within defined timelines
.Process
general ledger (GL) entrie
s and
accrual
s, ensuring accuracy and completeness
.Monitor and control GL activities to ensure proper account classification and reconciliations
.Liaise with
business division
s and
sub-ledger
s to ensure timely closure of financial reporting packs
.Prepare
aging analyse
s, identify overdue items, and propose corrective measures
.Conduct
variance analysi
s of actual vs. budgeted results and provide insights on deviations
.Perform
intercompany balance reconciliation
s and coordinate resolution of mismatches
.Test data accuracy for
financial dashboard
s and management reports
.Enforce company
reporting policies, procedures, and complianc
e requirements
.Collaborate with
internal department
s,
external auditor
s, and
regulatory authoritie
s to support audit and reporting processes
.Identify potential
risks related to reporting and complianc
e, propose mitigation strategies, and ensure internal control adherence
.Carry out any other tasks or projects as assigned from time to time
.
Skills & Competenci
esStrong analytical and problem-solving skill
s.Proficiency i
n financial reporting tools and ERP systems (SAP preferre
d) and advance
d Excel skil
l
s.In-depth understanding o
f regulatory and compliance framewor
ks related to financial reportin
g.Excellent communication and interpersonal skills with the ability to coordinate across function
s.Ability to perfor
m trend and variance analys
es and interpret financial data effectivel
y.High attention to detail, accuracy, and process orientatio
n.Demonstrated teamwork, accountability, and time management skill
s.
Qualifications & Experie
nceBachelor’s or Master’s degree
in Accounting, Finance, or Comme
r
ce.Professional certification (CA, ACCA, CIMA, or equivalent) in progress or completed preferr
ed.3–5 ye
ars of experience
in financial reporting, consolidation, or au
dit within a corporate or multinational environme
nt.Experience wi
th
SAP or other ERP-based financial systems preferr
ed.
Show more
Show less",Finance
4284428260,Senior Software Engineer - Python,Devsinc,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/senior-software-engineer-python-at-devsinc-4284428260?position=7&pageNum=0&refId=smk9RWIAsq%2FCObJOVAlvQg%3D%3D&trackingId=O%2BYFS30zlhdnwJe6Vn0aPQ%3D%3D,2025-07-19,Mid-Senior level,Full-time,IT Services and IT Consulting,"Devsinc
is seeking a talented
Python Closer
to join our dynamic team. In this role, you will be responsible for closing sales and driving business growth through the effective use of Python programming and script automation. You will work closely with the sales team to develop tailored solutions that meet client needs, leveraging your programming skills to enhance productivity and streamline communication processes. If you are passionate about technology and have a knack for sales, this is the perfect opportunity for you!
Key Responsibilities:
Utilize Python scripting to automate sales processes, manage customer relationships, and enhance overall productivity
Collaborate with the sales team to identify opportunities for improvement and develop customized solutions using Python
Engage with clients to understand their needs and present tailored offerings that leverage technical solutions
Monitor and analyze sales performance data to identify trends and make data-driven decisions
Create and maintain documentation for processes, scripts, and tools to ensure transparency and repeatability
Assist in training and onboarding new sales team members on automated processes and tools
Requirements
Qualifications:
Bachelor's degree in Computer Science, Information Technology, or a related field
Strong proficiency in Python programming, with hands-on experience in developing scripts and automation tools
1-2 years of experience in a sales role, preferably in a technology-focused environment
Excellent problem-solving skills with the ability to understand technical solutions and convey them to clients effectively
Strong analytical skills and experience in data analysis to drive sales performance
Excellent communication and interpersonal skills, with the ability to collaborate effectively with team members and clients
Preferred Skills:
Experience with CRM tools and sales management software
Understanding of sales processes and methodologies
Familiarity with data visualization tools and techniques
Previous experience in a tech startup environment is a plus
Show more
Show less",Other
4286661158,Software Engineer - Data Engineer,Devsinc,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/software-engineer-data-engineer-at-devsinc-4286661158?position=8&pageNum=0&refId=smk9RWIAsq%2FCObJOVAlvQg%3D%3D&trackingId=FTd9vViDBMT46SgfwhnUww%3D%3D,2025-08-15,Mid-Senior level,Full-time,IT Services and IT Consulting,"Devsinc
is looking for a talented and dynamic
Data Science | Data Engineer (SE1/SE2)
to join our innovative team. As a Data Science | Data Engineer, you will play a critical role in building robust data pipelines and developing data-driven solutions that empower our clients to make informed decisions. Your expertise in both data engineering and data science methodologies will be key in architecting data infrastructure, optimizing data processes, and delivering analytics solutions that meet business needs.
Key Responsibilities:
Design, develop, and maintain scalable data pipelines to ensure high-quality data accessibility for analytics and modeling
Implement and optimize ETL processes, focusing on data transformation, integration, and cleansing
Collaborate with cross-functional teams to understand data requirements and deliver effective data models that support business analytics
Apply statistical analysis and machine learning techniques to solve complex data challenges and generate actionable insights
Monitor and troubleshoot data systems, ensuring data integrity and performance optimization across data workflows
Stay current with industry trends, technologies, and best practices in data engineering and data science
Contribute to the development of dashboards and reporting tools to visualize data and support decision-making processes
Document data processes and architectures to facilitate knowledge sharing and promote compliance with data governance standards
Requirements
Qualifications:
Bachelor's degree in Data Science, Computer Science, Engineering, Mathematics, or a related field
1-3 years of experience in data engineering, data science, or related roles
Proficiency in SQL and experience with database management (e.g., PostgreSQL, MySQL, MongoDB)
Experience with data engineering tools and frameworks such as Apache Spark, Hadoop, or similar technologies
Solid understanding of machine learning algorithms and experience implementing predictive analytics models
Familiarity with programming languages such as Python or R for data processing and analysis
Knowledge of data visualization tools (e.g., Tableau, Power BI) is a plus
Excellent problem-solving abilities and analytical skills, with a keen attention to detail
Soft Skills:
Strong communication skills, capable of presenting complex data concepts to technical and non-technical stakeholders
A collaborative mindset, with the ability to work effectively in a team environment
Commitment to continuous learning and professional development in data science and engineering
Show more
Show less",Other
4282532318,Associate Software Engineer - Data Science,Devsinc,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/associate-software-engineer-data-science-at-devsinc-4282532318?position=9&pageNum=0&refId=smk9RWIAsq%2FCObJOVAlvQg%3D%3D&trackingId=RvSQAtJOMqb6rz9IxWXTog%3D%3D,2025-07-20,Associate,Full-time,IT Services and IT Consulting,"Devsinc
is on the lookout for
Data Scientists
with 6 months - 1.5 years of experience, with a particular focus on machine learning (ML). This role is ideal for individuals who have begun to develop their skills in ML methodologies and are eager to apply this knowledge to solve real-world challenges. The successful candidate will demonstrate a strong foundation in ML techniques, an analytical mindset for unraveling complex data puzzles, and a dedication to contributing to data-driven decisions and innovations.
Responsibilities:
Design, develop, and deploy machine learning models to address specific business challenges. This includes data preprocessing, feature engineering, model selection, training, and validation
Perform exploratory data analysis to uncover hidden patterns, correlations, and insights within structured and unstructured data. Utilize these findings to refine ML models and approaches
Engage with a multidisciplinary team of data scientists, engineers, and business stakeholders to refine data requirements and deliver ML-driven solutions
Create clear visualizations to represent the outcomes of ML models and analyses. Prepare comprehensive reports and presentations that translate complex ML concepts and findings into actionable business insights
Actively pursue learning opportunities in advanced machine learning techniques and algorithms. Incorporate cutting-edge research and tools into projects to enhance model performance and efficiency
Assist in the development of prototypes for predictive models and other ML applications, testing their effectiveness in real-world scenarios
Cross-Functional Application of Insights, Datasets, Code, and Models: Look for opportunities to use insights/datasets/code/models across other functions in the organization (for example in the HR and marketing departments)
Stay curious and enthusiastic about using algorithms to solve problems and enthuse others to see the benefit of your work
Maintain clear and coherent communication, both verbal and written, to understand data needs and report results
Requirements
Requirements
Bachelor's degree in Data Science, Computer Science, Engineering, Mathematics, Statistics, or a related field with significant coursework or projects in machine learning
A minimum of 6 months -1.5 years of experience in machine learning or data science, with a portfolio demonstrating projects in ML model development, data analysis, and feature engineering. Solid proficiency in ML libraries and frameworks (e.g., TensorFlow, PyTorch, scikit-learn) and programming languages such as Python. Experience with SQL and familiarity with data visualization libraries (e.g., Seaborn, ggplot2)
Exceptional skills in analyzing complex data sets to develop ML models that effectively address business needs
Strong ability to communicate complex ML concepts and the results of analyses clearly to both technical and non-technical stakeholders
Demonstrated ability to work effectively in a team, showing adaptability and openness to feedback
Show more
Show less",Engineering
4303038491,Data Science - Associate Software Engineer | Software Engineer,Devsinc,"Lahore, Punjab, Pakistan",https://pk.linkedin.com/jobs/view/data-science-associate-software-engineer-software-engineer-at-devsinc-4303038491?position=10&pageNum=0&refId=smk9RWIAsq%2FCObJOVAlvQg%3D%3D&trackingId=j7OfFS6F3zt821xPFJLcTQ%3D%3D,2025-09-19,Mid-Senior level,Full-time,IT Services and IT Consulting,"Devsinc is seeking motivated
Data Scientists
with
1-3 years of experience
, particularly in
Artificial Intelligence (AI)
or
Machine Learning (ML)
. This role is ideal for individuals who have built a strong foundation in ML methodologies and are eager to apply their skills to real-world business challenges. You will work closely with cross-functional teams to design, deploy, and optimize ML-driven solutions that support data-driven decision-making and innovation.
Key Responsibilities:
Model Development:
Design, develop, and deploy ML models for business use cases, including data preprocessing, feature engineering, model training, evaluation, and deployment.
Data Exploration:
Conduct exploratory data analysis (EDA) to uncover patterns, correlations, and insights that inform model refinement and business strategies.
Collaboration:
Work with data scientists, engineers, and business stakeholders to translate business needs into ML-driven solutions.
Visualization & Reporting:
Build clear, compelling visualizations and reports to communicate ML outcomes and insights to both technical and non-technical audiences.
Continuous Learning:
Stay updated with the latest advancements in ML algorithms, tools, and best practices, and incorporate them into projects where applicable.
Prototyping:
Develop and test prototypes for predictive and analytical models in real-world scenarios.
Communication:
Maintain clear, structured communication to articulate data needs, methodologies, and outcomes effectively.
Cross-Functional Impact:
Identify opportunities to reuse datasets, code, or models across multiple business areas.
Requirements
Education:
Bachelor's degree in Data Science, Computer Science, Engineering, Mathematics, Statistics, or a related field (with significant ML coursework/projects).
Experience:
1-3 years of experience of hands-on experience in ML or data science, supported by a portfolio of relevant projects (model development, feature engineering, data analysis).
Technical Skills:
Proficiency in Python and ML frameworks/libraries (e.g., TensorFlow, PyTorch, scikit-learn).
Experience with SQL for data manipulation.
Familiarity with data visualization tools/libraries (e.g., Matplotlib, Seaborn, ggplot2).
Analytical Skills:
Strong ability to analyze large and complex datasets and derive meaningful insights.
Communication:
Ability to explain technical concepts and ML results to non-technical stakeholders.
Teamwork:
Demonstrated ability to work collaboratively, adapt to feedback, and contribute effectively in a team environment.
Show more
Show less",Engineering
